count,script,valueB,colorB,company,valueA,colorA
1,Google Analytics,46,#FF8E4B,Google,86,#FF8E4B
2,Facebook Connect,22,#5B4CC4,Facebook,30,#5B4CC4
3,Google Double Click,19,#FF8E4B,comScore,19,#FFE68A
4,Google Publisher Tags,15,#FF8E4B,Twitter,10,#FFE68A
5,Google Tag Manager,15,#FF8E4B,Yandex,10,#FFE68A
6,comScore Scorecard R.B.,12,#FFE68A
7,Google AdSense,10,#FF8E4B
8,Twitter Button,9,#FFE68A
9,Yandex.Metrics,8,#FFE68A
10,Facebook Custom Audience,7,#5B4CC4
